,publishedAt,stock_queried,source_id,title,description,content,score
0,2024-04-04 21:00:09+08:00,NVIDIA,Theregister.com,Nvidia's 'China special' RTX 4090D hits great wall of US export controls,"Nerfed GPU included in revised list of cards deemed to be too powerful
The US government has published an updated list of tech export controls that looks to be bad news for Nvidia as it now includes the company's ""China special"" RTX 4090D GPU in items that ne��","The US government has published an updated list of tech export controls that looks to be bad news for Nvidia as it now includes the company's ""China special"" RTX 4090D GPU in items that need an expor�� [+2931 chars]",2.1
1,2024-04-05 03:01:15+08:00,NVIDIA,PCWorld,This RTX-powered HP gaming laptop is an absurdly low $700,"Finding a gaming PC on a budget is a struggle �� finding a gaming laptop on a budget, even more so. Today HP is closing out one model in its Victus sub-brand for $699.99, $300 off its regular price. While a 13th-gen Core i5 and an Nvidia RTX 3050 aren��t going ��","Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Finding a gaming PC �� [+1965 chars]",2
2,2024-04-05 08:17:25+08:00,NVIDIA,Theregister.com,Lambda borrows half a billion bucks to grow its GPU cloud,"Will buy tens of thousands of Nvidia's prized accelerators, which will be collateral for the loan
Lambda Labs, operator of a GPU-infused cloud, on Thursday revealed it has secured a $500 million loan to fund the expansion of its accelerators-as-a-service offe��","Lambda Labs, operator of a GPU-infused cloud, on Thursday revealed it has secured a $500 million loan to fund the expansion of its accelerators-as-a-service offering.
The deal backed by Macquarie Gr�� [+2088 chars]",4.7
3,2024-04-05 19:30:59+08:00,NVIDIA,Digital Trends,How to update or uninstall a Game Ready driver,"Nvidia's Game Ready drivers are the most stable option for PC gamers. In this guide, we'll walk you through updating and uninstalling them.","Everyone will tell you that having the latest graphics drivers is important, and for most Nvidia GPU owners, that means Nvidia's GeForce Game Ready drivers. New driver releases can offer improved per�� [+10153 chars]",3.8
4,2024-04-05 22:48:00+08:00,NVIDIA,Quartz India,Nvidia is planning a $200 million AI center in Indonesia,"Chipmaking leader Nvidia is planning a $200 million AI center in Indonesia in partnership with the country��s second-largest mobile telecom provider, as it expands into Southeast Asia.Read more...","Chipmaking leader Nvidia is planning a $200 million AI center in Indonesia in partnership with the countrys second-largest mobile telecom provider, as it expands into Southeast Asia.
The AI center w�� [+1856 chars]",4.7
5,2024-04-06 00:26:07+08:00,NVIDIA,Windows Central,Intel XeSS and Arc graphics just took a big step toward catching up to NVIDIA DLSS,Intel unveiled a new version of its XeSS upscaling technology this week. Better AI models and other optimizations promise big boosts in frame rates and reductions in ghosting and aliasing.,"What you need to know
<ul><li>Intel XeSS delivers AI-powered upscaling and competes with NVIDIA DLSS and AMD FidelityFX Super Resolution.</li><li>Intel just unveiled XeSS 1.3, which promises a signi�� [+4396 chars]",4.7
6,2024-04-06 03:11:00+08:00,NVIDIA,GameSpot,5 Best Gaming Laptop Deals At Best Buy - Save $500 On This Popular Asus Laptop,"Best Buy is always a great place to find electronics at a discount, and that's no different today. It's an especially good place to be shopping for a gaming laptop, as popular products from ASUS, Acer, and Alienware are seeing price cuts of up to $500. Whethe��","<ul><li>CPU: AMD Ryzen 7 7735HS</li><li>GPU: Nvidia RTX 4050</li><li>RAM: 16GB</li><li>SSD: 512GB</li><li>Display: 14-inch QHD, 165Hz</li></ul>Clocking in at just $900 right now, the ASUS ROG Zephyru�� [+781 chars]",4.2
7,2024-04-07 04:00:00+08:00,NVIDIA,Creative Bloq,"Forget the car, Apple is reportedly making house robots now",It's joining Nvidia in the great robot race.,"Sadly our Apple Car dreams were dashed not long ago, but when one door closes another one opens. The Apple rumour mill has recently churned out some fresh speculation that the company is now working �� [+2211 chars]",3.8
8,2024-04-07 22:07:05+08:00,NVIDIA,PCWorld,Absurd deal! Get this $650 RTX-powered HP gaming laptop before it��s gone,"Finding a gaming PC on a budget is a struggle �� finding a gaming laptop on a budget, even more so. Today HP is closing out one model in its Victus sub-brand for $649.99, $350 off its regular price. While a 13th-gen Core i5 and an Nvidia RTX 3050 aren��t going ��","Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
Finding a gaming PC �� [+2183 chars]",2
9,2024-04-08 03:58:46+08:00,NVIDIA,The Globe And Mail,Generative artificial intelligence is simply a waste of our time and money,Generative artificial intelligence have the potential to create enormous social costs without any significant social benefits,"Open this photo in gallery:A robot appears on stage as Nvidia CEO Jensen Huang delivers a keynote address during the Nvidia GTC Artificial Intelligence Conference at SAP Center on March 18, 2024 in S�� [+4599 chars]",3.8
